timestamp,walletValue,projectValue,totalValue
2023-01-17,309941923.5395,4630886.9664,314572810.5059
2023-01-18,260291593.5818,4420190.5103,264711784.0921
2023-01-19,273293588.4082,4510280.4696,277803868.8778
2023-01-20,315640587.9555,4708043.6885,320348631.6440
2023-01-21,327414588.4847,4627604.3584,332042192.8431
2023-01-22,323005066.3233,4634778.4856,327639844.8089
2023-01-23,337642755.4835,4706005.5805,342348761.0640
2023-01-24,306565376.4125,4500722.6779,311066099.0904
2023-01-25,317801623.4324,4629812.5217,322431435.9541
2023-01-26,314409818.3737,4629635.9440,319039454.3177
2023-01-27,312554314.2946,4775082.5440,317329396.8386
2023-01-28,391360082.1941,4731779.9378,396091862.1319
2023-01-29,403079500.7740,4785974.6558,407865475.4298
2023-01-30,357515854.1104,4668250.9828,362184105.0932
2023-01-31,360138877.1517,4663754.7669,364802631.9186
2023-02-01,389149012.6081,4741054.9476,393890067.5557
2023-02-02,375016316.8817,4800000.7829,379816317.6646
2023-02-03,401512542.8304,4811838.6384,406324381.4688
2023-02-04,393416398.8980,4795537.7732,398211936.6712
2023-02-05,378292200.9936,4809036.1264,383101237.1200
2023-02-06,359007270.5893,4755526.3031,363762796.8924
2023-02-07,351010323.3156,4939510.7294,355949834.0450
2023-02-08,344894722.3066,5023598.0275,349918320.3341
2023-02-09,281005932.9860,4694189.7772,285700122.7632
2023-02-10,326090941.8291,4747756.6745,330838698.5036
2023-02-11,316038242.5674,4781371.4002,320819613.9676
2023-02-12,301867684.6184,4789231.1404,306656915.7588
2023-02-13,301533361.0812,4925869.8855,306459230.9667
2023-02-14,286932430.6504,5012402.9482,291944833.5986
2023-02-15,319687697.0721,5280138.5489,324967835.6210
2023-02-16,323727129.0307,4998692.5271,328725821.5578
2023-02-17,359574386.2941,5296096.1795,364870482.4736
2023-02-18,339334889.6776,5256600.9514,344591490.6290
2023-02-19,322597766.9756,5284137.4922,327881904.4678
2023-02-20,321689068.1449,5408449.9600,327097518.1049
2023-02-21,292919662.5990,5210667.3215,298130329.9205
2023-02-22,312835341.7355,5211722.0661,318047063.8016
2023-02-23,310378157.6208,5219496.6607,315597654.2815
2023-02-24,295470554.9488,5089229.9208,300559784.8696
2023-02-25,281769170.0417,5088447.8797,286857617.9214
2023-02-26,277063380.7974,5216858.2433,282280239.0407
2023-02-27,295377645.0614,5210860.9794,300588506.0408
2023-02-28,297730048.6365,5180876.6130,302910925.2495
2023-03-01,298486793.8619,5240419.5080,303727213.3699
2023-03-02,133598926.8804,5230951.2184,138829878.0988
2023-03-03,105103530.7123,5040135.4042,110143666.1165
2023-03-04,92326183.2943,4998132.5455,97324315.8398
2023-03-05,89596977.2024,5044146.5145,94641123.7169
2023-03-06,93477258.2062,5055941.1192,98533199.3254
2023-03-07,98217916.8919,4973176.9452,103191093.8371
2023-03-08,81867588.5025,4894099.8403,86761688.3428
2023-03-09,69922589.5392,4359560.1769,74282149.7161
2023-03-10,112817280.5671,4300296.2101,117117576.7772
2023-03-11,95757072.1705,4443039.4277,100200111.5982
2023-03-12,103624418.1291,4880144.5788,108504562.7079
